2026-03-29 11:17:36 - mkk_comic - app.py:494 - INFO - 正在下载第8章: 第08话    UUID:3880c9dc-5551-11e9-b025-00163e0ca5bd
2026-03-29 11:17:37 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/魔都精兵的奴隸/第08话
2026-03-29 11:17:37 - mkk_comic - app.py:505 - INFO - 开始下载: 魔都精兵的奴隸 - 第08话
2026-03-29 11:17:37 - mkk_comic - app.py:506 - INFO - 总页数: 17
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 001/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 002/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 003/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 004/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 005/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 006/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 007/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 008/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 009/017 页...
2026-03-29 11:17:37 - mkk_comic - app.py:587 - INFO - 正在下载第 010/017 页...
2026-03-29 11:17:38 - mkk_comic - app.py:587 - INFO - 正在下载第 011/017 页...
